City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
318,Ryazhsk,RU,53.7038,40.1109,50.16,78,12,15.97,few clouds
319,Gawler,AU,-34.6,138.7333,64.15,57,90,21.7,light rain
320,Ayan,RU,56.45,138.1667,37.71,42,97,15.7,overcast clouds
321,Berezovyy,RU,51.6667,135.7,38.3,64,100,2.53,overcast clouds
322,Katipunan,PH,7.5825,122.8306,84.58,69,40,5.82,scattered clouds
323,El Alto,PE,-4.2714,-81.2147,61.43,86,95,17.69,overcast clouds
324,Shingū,JP,33.7333,135.9833,82.24,62,57,11.7,broken clouds
325,Pevek,RU,69.7008,170.3133,29.05,74,100,8.41,overcast clouds
326,Takoradze,GH,4.8845,-1.7554,74.52,94,85,5.12,overcast clouds
327,Umm Kaddadah,SD,13.6017,26.6876,85.44,25,34,8.41,scattered clouds
328,Biltine,TD,14.5333,20.9167,78.6,57,91,3.02,overcast clouds
329,Shirokiy,RU,49.758,129.523,40.48,36,65,15.86,broken clouds
330,Manicoré,BR,-5.8092,-61.3003,70.81,98,94,1.36,overcast clouds
331,Xiaoshi,CN,41.2971,124.1209,46.78,37,0,14.56,clear sky
332,Homer,US,59.6425,-151.5483,50.81,69,100,1.99,overcast clouds
333,Çeşme,TR,38.3228,26.3064,67.42,64,2,17.38,clear sky
334,Guerrero Negro,MX,27.9769,-114.0611,69.4,80,79,14.92,broken clouds
335,Saint George,BM,32.3817,-64.6781,75.81,93,16,8.61,few clouds
336,Kavieng,PG,-2.5744,150.7967,85.14,68,100,11.03,overcast clouds
337,Sukumo,JP,32.9333,132.7333,80.85,71,86,7.99,overcast clouds
338,San Policarpo,PH,12.1791,125.5072,85.21,69,79,7.67,broken clouds
339,Kloulklubed,PW,7.0419,134.2556,86.5,71,99,6.44,overcast clouds
340,Nemuro,JP,43.3236,145.575,66.61,93,100,34.38,light rain
341,Kilosa,TZ,-6.8333,36.9833,70.66,58,60,3.0,broken clouds
342,Athabasca,CA,54.7169,-113.2854,46.81,56,43,5.1,scattered clouds
343,Zhigansk,RU,66.7697,123.3711,29.88,74,99,12.08,overcast clouds
